fecha,day,month,week,estacion,linea,pasajeros
2020-01-01,1,1,1,linea A - acoyte,A,1304
2020-01-01,1,1,1,linea A - alberti,A,532
2020-01-01,1,1,1,linea A - carabobo,A,995
2020-01-01,1,1,1,linea A - castro barros,A,919
2020-01-01,1,1,1,linea A - congreso,A,1270
2020-01-01,1,1,1,linea A - flores,A,1374
2020-01-01,1,1,1,linea A - lima,A,840
2020-01-01,1,1,1,linea A - loria,A,1003
2020-01-01,1,1,1,linea A - pasco,A,372
2020-01-01,1,1,1,linea A - peru,A,1558
2020-01-01,1,1,1,linea A - piedras,A,472
2020-01-01,1,1,1,linea A - plaza miserere,A,2167
2020-01-01,1,1,1,linea A - primera junta,A,1244
2020-01-01,1,1,1,linea A - puan,A,586
2020-01-01,1,1,1,linea A - rio de janeiro,A,1047
2020-01-01,1,1,1,linea A - saenz pe�a,A,749
2020-01-01,1,1,1,linea A - san pedrito,A,2038
2020-01-01,1,1,1,linea B - angel gallardo,B,1350
2020-01-01,1,1,1,linea B - callao,B,1119
2020-01-01,1,1,1,linea B - carlos gardel,B,1777
2020-01-01,1,1,1,linea B - carlos pellegrini,B,2823
2020-01-01,1,1,1,linea B - dorrego,B,859
2020-01-01,1,1,1,linea B - echeverria,B,642
2020-01-01,1,1,1,linea B - federico lacroze,B,3104
2020-01-01,1,1,1,linea B - florida,B,476
2020-01-01,1,1,1,linea B - leandro n. alem,B,2125
2020-01-01,1,1,1,linea B - los incas,B,985
2020-01-01,1,1,1,linea B - malabia,B,1467
2020-01-01,1,1,1,linea B - medrano,B,1648
2020-01-01,1,1,1,linea B - pasteur,B,678
2020-01-01,1,1,1,linea B - pueyrredon,B,860
2020-01-01,1,1,1,linea B - rosas,B,2842
2020-01-01,1,1,1,linea B - tronador,B,370
2020-01-01,1,1,1,linea B - uruguay,B,944
2020-01-01,1,1,1,linea C - avenida de mayo,C,561
2020-01-01,1,1,1,linea C - constitucion,C,13798
2020-01-01,1,1,1,linea C - diagonal norte,C,375
2020-01-01,1,1,1,linea C - general san martin,C,590
2020-01-01,1,1,1,linea C - independencia,C,762
2020-01-01,1,1,1,linea C - lavalle,C,579
2020-01-01,1,1,1,linea C - mariano moreno,C,323
2020-01-01,1,1,1,linea C - retiro,C,7179
2020-01-01,1,1,1,linea C - san juan,C,501
2020-01-01,1,1,1,linea D - 9 de julio,D,504
2020-01-01,1,1,1,linea D - ag�ero,D,996
2020-01-01,1,1,1,linea D - bulnes,D,1541
2020-01-01,1,1,1,linea D - callao,D,615
2020-01-01,1,1,1,linea D - catedral,D,1062
2020-01-01,1,1,1,linea D - congreso de tucuman,D,2656
2020-01-01,1,1,1,linea D - facultad de medicina,D,676
2020-01-01,1,1,1,linea D - jose hernandez,D,880
2020-01-01,1,1,1,linea D - juramento,D,1595
2020-01-01,1,1,1,linea D - ministro carranza,D,1251
2020-01-01,1,1,1,linea D - olleros,D,974
2020-01-01,1,1,1,linea D - palermo,D,2804
2020-01-01,1,1,1,linea D - plaza italia,D,2105
2020-01-01,1,1,1,linea D - pueyrredon.d,D,699
2020-01-01,1,1,1,linea D - scalabrini ortiz,D,950
2020-01-01,1,1,1,linea D - tribunales,D,445
2020-01-01,1,1,1,linea E - avenida la plata,E,596
2020-01-01,1,1,1,linea E - boedo,E,685
2020-01-01,1,1,1,linea E - bolivar,E,1103
2020-01-01,1,1,1,linea E - catalinas,E,273
2020-01-01,1,1,1,linea E - correo central,E,844
2020-01-01,1,1,1,linea E - emilio mitre,E,672
2020-01-01,1,1,1,linea E - entre rios,E,591
2020-01-01,1,1,1,linea E - general belgrano,E,268
2020-01-01,1,1,1,linea E - independencia.h,E,583
2020-01-01,1,1,1,linea E - jose maria moreno,E,429
2020-01-01,1,1,1,linea E - jujuy,E,474
2020-01-01,1,1,1,linea E - medalla milagrosa,E,245
2020-01-01,1,1,1,linea E - pichincha,E,372
2020-01-01,1,1,1,linea E - pza. de los virreyes,E,1055
2020-01-01,1,1,1,linea E - retiro e,E,942
2020-01-01,1,1,1,linea E - san jose,E,339
2020-01-01,1,1,1,linea E - urquiza,E,313
2020-01-01,1,1,1,linea E - varela,E,311
2020-01-01,1,1,1,linea H - caseros,H,659
2020-01-01,1,1,1,linea H - cordoba,H,621
2020-01-01,1,1,1,linea H - corrientes,H,525
2020-01-01,1,1,1,linea H - facultad de derecho,H,999
2020-01-01,1,1,1,linea H - hospitales,H,1457
2020-01-01,1,1,1,linea H - humberto i,H,792
2020-01-01,1,1,1,linea H - inclan,H,757
2020-01-01,1,1,1,linea H - las heras,H,1488
2020-01-01,1,1,1,linea H - once/30 de diciembre,H,2256
2020-01-01,1,1,1,linea H - patricios,H,1285
2020-01-01,1,1,1,linea H - santa fe,H,976
2020-01-01,1,1,1,linea H - venezuela,H,1104
2020-01-02,2,1,1,linea A - acoyte,A,12036
2020-01-02,2,1,1,linea A - alberti,A,4139
2020-01-02,2,1,1,linea A - carabobo,A,9973
2020-01-02,2,1,1,linea A - castro barros,A,7649
2020-01-02,2,1,1,linea A - congreso,A,10261
2020-01-02,2,1,1,linea A - flores,A,10371
2020-01-02,2,1,1,linea A - lima,A,6986
2020-01-02,2,1,1,linea A - loria,A,6534
2020-01-02,2,1,1,linea A - pasco,A,3049
2020-01-02,2,1,1,linea A - peru,A,22654
2020-01-02,2,1,1,linea A - piedras,A,7582
2020-01-02,2,1,1,linea A - plaza miserere,A,14765
2020-01-02,2,1,1,linea A - primera junta,A,11765
2020-01-02,2,1,1,linea A - puan,A,5562
2020-01-02,2,1,1,linea A - rio de janeiro,A,8453
2020-01-02,2,1,1,linea A - saenz pe�a,A,7988
2020-01-02,2,1,1,linea A - san pedrito,A,24434
2020-01-02,2,1,1,linea B - angel gallardo,B,11982
2020-01-02,2,1,1,linea B - callao,B,12615
2020-01-02,2,1,1,linea B - carlos gardel,B,13751
2020-01-02,2,1,1,linea B - carlos pellegrini,B,18014
2020-01-02,2,1,1,linea B - dorrego,B,8153
2020-01-02,2,1,1,linea B - echeverria,B,5866
2020-01-02,2,1,1,linea B - federico lacroze,B,25115
2020-01-02,2,1,1,linea B - florida,B,20194
2020-01-02,2,1,1,linea B - leandro n. alem,B,21673
2020-01-02,2,1,1,linea B - los incas,B,8254
2020-01-02,2,1,1,linea B - malabia,B,16167
2020-01-02,2,1,1,linea B - medrano,B,14087
2020-01-02,2,1,1,linea B - pasteur,B,10010
2020-01-02,2,1,1,linea B - pueyrredon,B,11544
2020-01-02,2,1,1,linea B - rosas,B,24486
2020-01-02,2,1,1,linea B - tronador,B,4765
2020-01-02,2,1,1,linea B - uruguay,B,12789
2020-01-02,2,1,1,linea C - avenida de mayo,C,4872
2020-01-02,2,1,1,linea C - constitucion,C,71552
2020-01-02,2,1,1,linea C - diagonal norte,C,5187
