year,LINEA,total
2013,A,26731478
2013,B,49458167
2013,C,27839180
2013,D,45532347
2013,E,11815541
2013,H,4377480
2014,A,48117121
2014,B,71550892
2014,C,41491009
2014,D,68188583
2014,E,18368628
2014,H,7473392
2015,A,54011706
2015,B,80973803
2015,C,44859132
2015,D,74073395
2015,E,19190895
2015,H,9410189
2016,A,58786268
2016,B,86447290
2016,C,46713260
2016,D,83000815
2016,E,21307077
2016,H,18163481
2017,A,61943401
2017,B,88723480
2017,C,48163289
2017,D,81600202
2017,E,22085643
2017,H,26185710
2018,A,63590948
2018,B,92012699
2018,C,54965093
2018,D,82042036
2018,E,22890867
2018,H,32898471
2019,A,63469412
2019,B,87449121
2019,C,50661307
2019,D,80941537
2019,E,24097320
2019,H,34721804
2020,A,11547922
2020,B,16221726
2020,C,7989026
2020,D,14540456
2020,E,5270933
2020,H,6766380
