ID Dataset;Area del Conocimiento;Categoría;Red Institucional;Tipo de Lugar de Trabajo;Provincia laboral;Rango de Edad;Género
2020-07177;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-01982;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-03584;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-03670;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-03832;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-03964;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-03994;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-04128;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-04196;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-04320;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
